question,contexts,answer,ground_truth,domain,difficulty
"What is the Law of Large Numbers?","The Law of Large Numbers states that as a sample size grows, its mean gets closer to the average of the whole population.","As a sample size grows, the sample mean converges to the expected value of the population.","Requires the sample size to grow."",""Involves the sample mean."",""Converges to the population expected value.","probability","undergraduate"
"How do permutations differ from combinations?","Permutations account for the exact order of selection, while combinations do not consider order.","Permutations account for order, while combinations do not.","Permutations account for order."",""Combinations do not account for order.","probability","undergraduate"
"When would I use a Poisson distribution instead of a Binomial distribution?","Use Poisson for counting events in a fixed interval, and Binomial for successes in fixed independent trials.","Poisson is for events in a fixed interval; Binomial is for successes in fixed trials.","Poisson counts events in an interval."",""Binomial counts successes in fixed trials.","distributions","undergraduate"
"What is the memoryless property of the Exponential distribution?","The probability of an event occurring in the future is independent of how much time has already elapsed.","Future event probability is independent of elapsed time.","Applies to future events."",""Probability is independent of elapsed time.","distributions","undergraduate"
"Define the expected value of a discrete random variable.","It is the probability-weighted average of all possible values the random variable can take.","It is the probability-weighted average of all its possible values.","It is an average."",""Values are weighted by their probabilities.","probability","undergraduate"
"How do I calculate the variance of a continuous uniform distribution from a to b?","The variance is calculated using the formula: (b - a)^2 / 12.","The variance is (b - a)^2 / 12.","Involves the difference between bounds b and a."",""Difference is squared."",""Divided by 12.","distributions","undergraduate"
"What is the relationship between the Gamma distribution and the Poisson process?","The Gamma distribution models the waiting time until the k-th event occurs in a Poisson process.","It models the waiting time until the k-th event in a Poisson process.","Models waiting time."",""Time until k-th event."",""Within a Poisson process.","distributions","graduate"
"Explain Bayes' Theorem in simple terms.","It is a mathematical formula used to update the probability of a hypothesis based on new evidence.","It updates the probability of a hypothesis based on new evidence.","Updates probability."",""Based on new evidence.","bayesian","undergraduate"
"What happens to the shape of a Student's t-distribution as degrees of freedom increase?","As degrees of freedom increase, the t-distribution approaches the standard normal distribution.","It approaches the standard normal distribution.","Degrees of freedom increase."",""Approaches standard normal distribution.","distributions","undergraduate"
"Why is the Beta distribution used as a prior for proportions?","The Beta distribution is bounded between 0 and 1, matching the domain of probabilities.","It is bounded between 0 and 1, matching probability domains.","Bounded between 0 and 1."",""Matches probability domains.","bayesian","graduate"
"What is stratified sampling?","The population is divided into subgroups, and a random sample is taken from every subgroup.","Dividing the population into groups and sampling from every group.","Population divided into subgroups."",""Samples taken from every subgroup.","experimental_design","undergraduate"
"What is cluster sampling?","The population is divided into groups, a few groups are randomly selected, and every individual in those groups is surveyed.","Randomly selecting entire groups and surveying everyone within them.","Selects entire groups."",""Surveys every individual in selected groups.","experimental_design","undergraduate"
"How does sample size affect the Margin of Error?","Increasing the sample size decreases the Margin of Error following an inverse square root relationship.","Increasing sample size decreases the Margin of Error.","Sample size increases."",""Margin of error decreases."",""Inverse square root relationship.","experimental_design","undergraduate"
